News#,Title,Match,Score,Polarity
111,COMPREHENSIVE CARE CORP &lt;CMPH> 3RD QTR NET,comprehensive,1,Positive
112,CHAPMAN &lt;CHPN> IN RESTRUCTURING,restructuring,1,Positive
113,VESTAR INC &lt;VSTR> YEAR LOSS,loss,-1,Negative
114,UNIVATION INC &lt;UNIV> EXPANDS EUROPE DISTRIBUTION,,0,Neutral
115,&lt;STERLING BANCORP> YEAR NET,,0,Neutral
116,FIRST NEW HAMPSHIRE BANKS INC DIV,,0,Neutral
117,HOUSE OF FABRICS &lt;HF> QUARTERLY DIVIDEND,,0,Neutral
118,"Bank of Japan bought 200 to 300 mln dlrs this morning, dealers said.",,0,Neutral
119,MIAMI-Brazil and bank advisory committee agree to 60-day extension on credit lines,,0,Neutral
120,"JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY",modest,1,Positive
121,Miami-Brazil says it expects to make no interest payments before March 31,,0,Neutral
122,"CORRECTED-MIAMI-Brazil, bank committee will transmit request for 60-day credit extension",,0,Neutral
123,BRAZIL/BANK COMMITTEE AGREE ON CREDIT REQUEST,,0,Neutral
124,JAPAN'S 1986/87 SUGAR CANE OUTPUT SEEN FALLING,falling,-1,Negative
125,INDIAN ROCKET LAUNCH FAILS,fails,-1,Negative
126,AUSTRALIA'S OPPOSITION PARTY GAINING POPULARITY,"gaining, opposition",0,Neutral
127,WEEKS PETROLEUM LTD &lt;WPMA.MEL> CALENDAR 1986,,0,Neutral
128,"Bank of Japan keeps intervening to hold dollar above 149 yen, brokers",,0,Neutral
129,"JAPAN INTERVENING TO KEEP DOLLAR UP, BROKERS",,0,Neutral
130,BELL GROUP ISSUING 200 MLN IN CONVERTIBLE BONDS,,0,Neutral
131,Current exchange rates almost within levels agreed by major nations - Sumita,,0,Neutral
132,Sumita says major nations cooperated to stabilise currencies.,,0,Neutral
133,THAILAND'S FOREIGN RESERVES FALL IN FEBRUARY,fall,-1,Negative
134,EXCHANGE RATES ALMOST WITHIN G-6 LEVELS - SUMITA,,0,Neutral
135,N.Z. TRADE SURPLUS 119.1 MLN DLRS IN FEBRUARY,,0,Neutral
136,MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE,issue,-1,Negative
137,Sumita says Bank of Japan has no intention of lowering its discount rate,,0,Neutral
138,JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE-SUMITA,,0,Neutral
139,JARDINE MATHESON PROFITS SEEN UP SHARPLY IN 1986,sharply,-1,Negative
140,HU YAOBANG APPEARS AT CHINA PARLIAMENTARY SESSION,,0,Neutral
141,FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS,,0,Neutral
142,CHINA'S FIRST JOINT VENTURE BANK REPORTS PROFIT,,0,Neutral
143,BANGLADESH'S PAYMENTS DEFICIT NARROWS IN OCTOBER,,0,Neutral
144,PEKING FACES WATER RATIONING,,0,Neutral
145,U.S.-CHINA CIGARETTE FILTER JOINT VENTURE SET UP,,0,Neutral
146,TWO JAPANESE STEELMAKERS TO CUT CAPITAL SPENDING,,0,Neutral
147,NISSAN AFFILIATE TO ACQUIRE U.S. AUTOPARTS MAKER,,0,Neutral
148,DUTCH STATE LAUNCHES NEW EIGHT YEAR BULLET AT 6-1/4 PCT - OFFICIAL,,0,Neutral
149,"YEN MAY RISE TO 140 TO THE DOLLAR, NIKKEIREN SAYS",,0,Neutral
150,SINGAPORE SECURITIES MARKET CONSIDERING CHANGES,,0,Neutral
151,NEW DUTCH BULLET STATE LOAN AT 6-1/4 PCT DUE 1995,,0,Neutral
152,BRUSSELS - Ferruzzi says it will pay 630 mln dlrs to CPC International for European mills.,,0,Neutral
153,"VIETNAM TO RESETTLE 300,000 ON STATE FARMS IN 1987",,0,Neutral
154,EC MINISTERS FAIL TO END DEADLOCK ON RESEARCH PLAN,"fail, deadlock",-2,Negative
155,MADAGASCAR EXTENDS AMOCO OIL EXPLORATION AGREEMENT,agreement,1,Positive
156,FERRUZZI DEAL WITH CPC WORTH 630 MLN DLRS,worth,1,Positive
157,AIRLINES CAN INCREASE HONG KONG/MANILA FLIGHTS,,0,Neutral
158,SWIRE PACIFIC LTD &lt;SWPC.HKG> YEAR 1986,,0,Neutral
159,BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion,,0,Neutral
160,BAT INDUSTRIES PLC &lt;BTI.L> 1986 YEAR,,0,Neutral
161,SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS,"issue, bonus",0,Neutral
162,"Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources",,0,Neutral
163,SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR,,0,Neutral
164,NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION,,0,Neutral
165,DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT,fall,-1,Negative
166,"JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES",,0,Neutral
167,BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS,,0,Neutral
168,ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT,,0,Neutral
169,ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND,issues,-1,Negative
170,MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES,,0,Neutral
171,BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT,,0,Neutral
172,GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS,,0,Neutral
173,CITIBANK LAUNCHES CURRENCY WARRANTS,,0,Neutral
174,MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL,,0,Neutral
175,"BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS",,0,Neutral
176,SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER,,0,Neutral
177,BICC PLC &lt;BICC.L> 1986 YEAR,,0,Neutral
178,TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR,,0,Neutral
179,PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150,killed,-1,Negative
180,"CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS",reforms,1,Positive
181,NIPPON STEEL TO REDUCE DIVIDEND,,0,Neutral
182,BAT SEES STRONG PERFORMANCE FROM ALL SECTORS,strong,1,Positive
183,CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER,"crisis, premier",0,Neutral
184,TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY,sharply,-1,Negative
185,BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT,wins,1,Positive
186,JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT,,0,Neutral
187,BABCOCK INTERNATIONAL PLC &lt;BABK.L> YEAR 1986,,0,Neutral
188,VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS,,0,Neutral
189,DELTA GROUP &lt;DLTL.L> YEAR TO JAN 3.,,0,Neutral
190,PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING,gold,1,Positive
191,BELGIAN PUBLIC DEBT RISES IN FEBRUARY,debt,-1,Negative
192,BABCOCK EXPECTS FURTHER PROGRESS IN 1987,progress,1,Positive
193,"EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL",,0,Neutral
194,"CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS",,0,Neutral
195,WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN,,0,Neutral
196,SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER,,0,Neutral
197,CARGILL U.K. STRIKE TALKS TO RESUME THIS AFTERNOON,strike,-1,Negative
198,NORWAY ISSUES 60 BILLION YEN EUROBOND,issues,-1,Negative
199,BROCKWAY AIR TO BUY FIVE SAAB PLANES,,0,Neutral
200,SAAB-SCANIA LAUNCHES 100 MLN DLR EURO-CP PROGRAM,,0,Neutral
201,BRITISH COMPOUND FEED PRODUCTION DETAILED,,0,Neutral
202,KLOECKNER UND CO'S 1986 PROFIT FALLS ABOUT 20 PCT,falls,-1,Negative
203,MIXED ASIAN REACTION TO NEW RUBBER PACT,,0,Neutral
204,"CIBA-GEIGY, PHILLIPS PETROLEUM IN JOINT VENTURE",,0,Neutral
205,KRUPP TO BUILD SOUTH KOREAN STEEL PLANT,,0,Neutral
206,SWIRE EXPECTS CONTINUED GROWTH THIS YEAR,,0,Neutral
207,UNCERTAINTY SURROUNDS EC SUGAR TENDER RESULT-TRADE,tender,1,Positive
208,ABU DHABI TO REOPEN GULF OILFIELD HIT IN 1986 RAID,,0,Neutral
209,"CHAD SAYS TROOPS KILLED 1,200 LIBYANS IN BATTLE",killed,-1,Negative
210,RAINBOW LIFTS PROGRESSIVE STAKE TO 52 PCT,progressive,1,Positive
211,BANK OF THAILAND PLANS ITS FIRST BOND ISSUE,issue,-1,Negative
212,FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS,,0,Neutral
213,"YEN MAY RISE TO 140 TO THE DLR, NIKKEIREN SAYS",,0,Neutral
214,"JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY",modest,1,Positive
215,BRAZIL/BANK COMMITTEE AGREE ON CREDIT REQUEST,,0,Neutral
216,JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE-SUMITA,,0,Neutral
217,U.K. MONEY MARKET FORECAST REVISED TO SHOW SURPLUS,,0,Neutral
218,BANK OF ENGLAND DOES NOT OPERATE IN MONEY MARKET,,0,Neutral
219,BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS,,0,Neutral
220,EXCHANGE RATES ALMOST WITHIN G-6 LEVELS - SUMITA,,0,Neutral
221,AFGHAN BOMBING TOLL ALMOST 150,toll,-1,Negative
222,"JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES",,0,Neutral
223,SWIRE UNCOMMITTED ON PROPOSED NEW H.K. AIRPORT,,0,Neutral
224,CENTRAL BANKS BUY DOLLARS FOR YEN IN LONDON,,0,Neutral
225,"BRAZIL, BANKS FAIL TO MAKE BREAKTHROUGH IN DEBT TALKS","fail, breakthrough, debt",-1,Negative
226,"CHINA MUST REFORM IRRATIONAL PRICE SYSTEM, ZHAO","reform, irrational",0,Neutral
227,"SEVERE DROUGHT AFFECTS EAST, NORTHEAST THAILAND","drought, severe",-2,Negative
229,OCEAN TRANSPORT AND TRADING PLC &lt;OTTL.L> YEAR 1986,,0,Neutral
230,DART GROUP RAISES SUPERMARKETS GENERAL &lt;SGL> BID,,0,Neutral
231,OLSON INDUSTRIES INC &lt;OLSN> 4TH QTR NET,,0,Neutral
232,OLSON &lt;OLSN> TO HAVE LOSS FROM EGG UNIT SALE,loss,-1,Negative
233,JEFFERIES &lt;JEFG> SETS SUPERMARKETS &lt;SGL> MARKET,,0,Neutral
234,E.D. And F. MAN TO BUY INTO HONG KONG FIRM,,0,Neutral
235,ORACLE CORP &lt;ORCL> 3RD QTR FEB 28 NET,,0,Neutral
236,DISNEY &lt;DIS> OPENING EXPERIMENTAL RETAIL OUTLET,,0,Neutral
237,ENTERRA CORP &lt;EN> 4TH QTR LOSS,loss,-1,Negative
238,JOHNSTOWN/CONSOLIDATED REALTY TRUST &lt;JCT> NET,trust,1,Positive
239,DURIRON &lt;DURI> COMPLETES VALTEK &lt;VALT> PURCHASE,,0,Neutral
240,WASHINGTON FEDERAL SAVINGS &lt;WFSL> QUARTERLY DIV,savings,1,Positive
241,SINGER &lt;SMF> GETS TEXAS AIR &lt;TEX> CONTRACT,,0,Neutral
242,ROWLEY-SCHER &lt;RSCH> TO HAVE LOSS FOR YEAR,loss,-1,Negative
243,DIXONS SAID IT GOT AND ACCEPTED ONLY 20 PCT OF CYCLOPS SHARES IN TENDER,tender,1,Positive
244,LONDON ON RISE AS TRADING CENTRE IN U.S. DEBT,debt,-1,Negative
245,MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE,issue,-1,Negative
246,DIXONS GETS ONLY 20 PCT OF CYCLOPS &lt;CYL> IN BID,,0,Neutral
247,OPPOSITION SAYS UK GOV'T GAVE ARMS TO CONTRAS,opposition,-1,Negative
248,BRAZIL ANNOUNCES NEW PLANNING MINISTER,,0,Neutral
249,CITIBANK LAUNCHES CURRENCY WARRANTS,,0,Neutral
250,KAUFMAN AND BROAD HOME CORP &lt;KBH> 1ST QTR FEB 28,,0,Neutral
251,METRO CABLE &lt;METO> TO SELL PARTNERSHIP,,0,Neutral
252,RENOUF HAS 93.4 PCT OF BENEQUITY &lt;BH> UNITS,,0,Neutral
253,OIL ANALYST SEES PAPUA NEW GUINEA AS GOOD PROSPECT,good,1,Positive
254,"CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COST",,0,Neutral
255,USAIR GROUP INC &lt;U> SETS QUARTERLY,,0,Neutral
256,"CHINA MUST CUT DEMAND, CONTINUE REFORMS: ZHAO",reforms,1,Positive
257,YUGOSLAVIA SEEKS 600 MLN ECU LOAN FROM EC,,0,Neutral
258,MCFARLAND &lt;MCFE> TO BUY PETROMINERALS &lt;PTRO>,,0,Neutral
259,TIMMINCO ACQUIRES UNIVERSAL ADHESIVES,,0,Neutral
260,&lt;PALOMA PETROLEUM LTD> YEAR NET,,0,Neutral
261,U.K. MONEY MARKET SURPLUS REVISED TO 250 MLN STG,,0,Neutral
262,&lt;TECHNIMED CORP> GETS FDA APPROVAL FOR DRUG,approval,1,Positive
263,&lt;AMERICAN RESOURCE CORP LTD> YEAR NET,,0,Neutral
264,WASTE MANAGEMENT ENDS TENDER OFFER FOR CHEMLAWN,"waste, tender",0,Neutral
265,WEST GERMAN JAN COFFEE IMPORTS DOWN ON YEAR-AGO,,0,Neutral
266,ONE VALLEY BANCORP &lt;OVWV> RAISES QUARTERLY,,0,Neutral
267,NATIONAL DATA CORP &lt;NDTA> 3RD QTR FEB 28 NET,,0,Neutral
268,NVHOMES &lt;NVH> SETS TWO-FOR-ONE SPLIT,split,-1,Negative
269,AMERICAN RESOURCE SETS RIGHTS OFFERING,,0,Neutral
270,VANGUARD TECHNOLOGIES INTERNATIONAL INC &lt;VTI>,,0,Neutral
271,THOMSON MCKINNON U.S. GOVERNMENT FUND DIVIDEND,,0,Neutral
272,THOMSON MCKINNON INCOME FUND DIVIDEND,,0,Neutral
273,(OAKRIDGE HOLDINGS INC) 2ND QTR DEC 31 NET,,0,Neutral
274,GENERAL COMPUTER CORP &lt;GCCC> 3RD QTR FEB 28 NET,,0,Neutral
275,UK EQUITIES SEEN DUE FOR DOWNWARD CORRECTION,,0,Neutral
276,ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND,issues,-1,Negative
277,BRIERLEY OFFER FOR PROGRESSIVE STILL VALID,progressive,1,Positive
278,AVATAR HOLDINGS INC &lt;AVTR> YEAR NET,,0,Neutral
279,NORWAY OFFERS 11TH LICENCE ROUND OFFSHORE BLOCKS,,0,Neutral
280,PERCEPTION TECHNOLOGY &lt;PCEP> TO TAKE CHARGE,,0,Neutral
281,INSPECTORATE ISSUES 200 MLN MARK EQUITY EUROBOND,issues,-1,Negative
282,Bundesbank buys dollars for yen - Frankfurt dealers,,0,Neutral
283,REUTERS TO BUY I P SHARP OF CANADA,sharp,1,Positive
284,HORIZON BANK &lt;HRZB> SETS STOCK SPLIT,split,-1,Negative
285,WASTE &lt;WMX> ENDS OFFER FOR CHEMLAWN &lt;CHEM>,waste,-1,Negative
286,CORE-MARK INTERNATIONAL NAMES ACTING CHAIRMAN,,0,Neutral
287,&lt;ACKERLY COMMUNICATIONS INC> YEAR LOSS,loss,-1,Negative
288,UNITED MEDICAL &lt;UM> TO SELL UNIT,,0,Neutral
289,REXNORD &lt;REX> TO CUT STAFF TO 50 FROM 112,,0,Neutral
290,CCC ACCEPTS BONUS BID ON CATTLE FOR EGYPT - USDA,bonus,1,Positive
291,INTEL &lt;INTC> UNIT SELLS NOTES AT 8.18 PCT,,0,Neutral
292,SPAIN'S SOCIALIST TRADE UNION PUSHES FOR WAGE HIKE,,0,Neutral
293,THATCHER DEFENDS UK OIL POLICY IN SAUDI INTERVIEW,,0,Neutral
294,MARCH PRICES FELL IN GERMAN STATE ON YEAR-AGO,fell,-1,Negative
295,BUNDESBANK BUYS DOLLARS IN FRANKFURT - DEALERS,,0,Neutral
296,CROSSLAND SAVINGS &lt;CRLD>ACQUIRES WESTERN SAVINGS,savings,2,Positive
297,GENERAL ELECTRIC &lt;GE> SELLS RIGHTS TO TECHNIQUE,,0,Neutral
298,CPC &lt;CPC> EXPECTS EUROPEAN SALE TO CUT DEBT,debt,-1,Negative
299,BANK OF ENGLAND DRAINS MONEY MARKET LIQUIDITY,drains,-1,Negative
300,H.K. OFFICIAL DEFENDS NON-PROSECUTION OF BOND,,0,Neutral
301,VICORP RESTAURANTS INC &lt;VRES> 1ST QTR FEB 15 NET,,0,Neutral
302,COMMERZBANK TO ACQUIRE AND FLOAT LINOTYPE,,0,Neutral
303,VICORP &lt;VRES> ENDS SALE/LEASEBACK DEAL,,0,Neutral
304,"EC EXPORT LICENCES FOR 59,000 TONNES WHITE  SUGAR AT REBATE 45.678 ECUS - FRENCH TRADERS",,0,Neutral
305,U.K. INTERVENTION BOARD DETAILS EC SUGAR SALES,,0,Neutral
306,PIONEER-STANDARD ELECTRONICS INC &lt;PIOS> PAYOUT,,0,Neutral
307,AMSTERDAM EXCHANGE ANNOUNCES MODERNISATION DRIVE,,0,Neutral
308,HOUSE WAYS AND MEANS CMTE FINISHES WORK ON BILL TO TOUGHEN TRADE LAWS,work,1,Positive
309,CHEROKEE GROUP &lt;CHKE> FILES TO OFFER SHARES,,0,Neutral
310,SOUTH AFRICA PROBLEMS REMAIN DESPITE DEBT PACT,"debt, problems",-2,Negative
311,FABRI-CENTERS &lt;FCA> 4TH QTR ENDS JAN 31 NET,,0,Neutral
